space_id;space_name;space_longname;spatialzone_name;spatialzone_longname;spatialzone_type;storey_id;storey_name;building_id;building_name;parent_id;parent_name;parent_type;parent_longname
1d142bc7-06a6-49f0-87bb-c23ca05f8c92;1;GFA;;;;;;;;2d99307a-66cd-4439-b173-5c88d252647c;Gross Building;IfcGroup;
88536540-92b3-4cf8-b993-f1005aa89a13;1;GFA 250mm;;;;;;;;fc163a3e-7294-459a-b978-503273033007;Kerrosala;IfcGroup;
91b4cedc-2da1-4880-a019-98ad19f16e10;1;HEATED NETAREA;;;;;;;;a72e48c5-05d6-4017-83b3-c7fee6b88e05;Lämmitetty nettoala;IfcGroup;
1d142bc7-06a6-49f0-87bb-c23ca05f8c92;1;GFA;;;;e3e052f9-0156-11d5-9301-0000863f269a;Level_01;05587af9-f099-4553-a05b-106372672cd3;;e3e052f9-0156-11d5-9301-0000863f269a;Level_01;IfcBuildingStorey;Level_01
88536540-92b3-4cf8-b993-f1005aa89a13;1;GFA 250mm;;;;e3e052f9-0156-11d5-9301-0000863f269a;Level_01;05587af9-f099-4553-a05b-106372672cd3;;e3e052f9-0156-11d5-9301-0000863f269a;Level_01;IfcBuildingStorey;Level_01
91b4cedc-2da1-4880-a019-98ad19f16e10;1;HEATED NETAREA;;;;e3e052f9-0156-11d5-9301-0000863f269a;Level_01;05587af9-f099-4553-a05b-106372672cd3;;e3e052f9-0156-11d5-9301-0000863f269a;Level_01;IfcBuildingStorey;Level_01
896fe30b-f906-4f8f-ae4e-8806fd16f48c;2;GFA;;;;;;;;2d99307a-66cd-4439-b173-5c88d252647c;Gross Building;IfcGroup;
88536540-92b3-4cf8-b993-f1005aa89a19;2;GFA 250mm;;;;;;;;fc163a3e-7294-459a-b978-503273033007;Kerrosala;IfcGroup;
91b4cedc-2da1-4880-a019-98ad19f16e73;2;HEATED NETAREA;;;;;;;;a72e48c5-05d6-4017-83b3-c7fee6b88e05;Lämmitetty nettoala;IfcGroup;
88536540-92b3-4cf8-b993-f1005aa89a19;2;GFA 250mm;;;;458c0e49-01bb-11d5-9302-0000863f251b;Level_02;05587af9-f099-4553-a05b-106372672cd3;;458c0e49-01bb-11d5-9302-0000863f251b;Level_02;IfcBuildingStorey;Level_02
896fe30b-f906-4f8f-ae4e-8806fd16f48c;2;GFA;;;;458c0e49-01bb-11d5-9302-0000863f251b;Level_02;05587af9-f099-4553-a05b-106372672cd3;;458c0e49-01bb-11d5-9302-0000863f251b;Level_02;IfcBuildingStorey;Level_02
91b4cedc-2da1-4880-a019-98ad19f16e73;2;HEATED NETAREA;;;;458c0e49-01bb-11d5-9302-0000863f251b;Level_02;05587af9-f099-4553-a05b-106372672cd3;;458c0e49-01bb-11d5-9302-0000863f251b;Level_02;IfcBuildingStorey;Level_02
896fe30b-f906-4f8f-ae4e-8806fd16f487;3;GFA;;;;;;;;2d99307a-66cd-4439-b173-5c88d252647c;Gross Building;IfcGroup;
88536540-92b3-4cf8-b993-f1005aa89a21;3;GFA 250mm;;;;;;;;fc163a3e-7294-459a-b978-503273033007;Kerrosala;IfcGroup;
91b4cedc-2da1-4880-a019-98ad19f16ec6;3;HEATED NETAREA;;;;;;;;a72e48c5-05d6-4017-83b3-c7fee6b88e05;Lämmitetty nettoala;IfcGroup;
88536540-92b3-4cf8-b993-f1005aa89a21;3;GFA 250mm;;;;fa6d430e-becf-4766-8734-2958fea68219;Level_03;05587af9-f099-4553-a05b-106372672cd3;;fa6d430e-becf-4766-8734-2958fea68219;Level_03;IfcBuildingStorey;Level_03
896fe30b-f906-4f8f-ae4e-8806fd16f487;3;GFA;;;;fa6d430e-becf-4766-8734-2958fea68219;Level_03;05587af9-f099-4553-a05b-106372672cd3;;fa6d430e-becf-4766-8734-2958fea68219;Level_03;IfcBuildingStorey;Level_03
91b4cedc-2da1-4880-a019-98ad19f16ec6;3;HEATED NETAREA;;;;fa6d430e-becf-4766-8734-2958fea68219;Level_03;05587af9-f099-4553-a05b-106372672cd3;;fa6d430e-becf-4766-8734-2958fea68219;Level_03;IfcBuildingStorey;Level_03
896fe30b-f906-4f8f-ae4e-8806fd16f4bc;4;GFA;;;;;;;;2d99307a-66cd-4439-b173-5c88d252647c;Gross Building;IfcGroup;
88536540-92b3-4cf8-b993-f1005aa89a29;4;GFA 250mm;;;;;;;;fc163a3e-7294-459a-b978-503273033007;Kerrosala;IfcGroup;
d7b448dd-a18e-4e8c-a527-87ca9022d380;4;Lämmitetty nettoala;;;;;;;;a72e48c5-05d6-4017-83b3-c7fee6b88e05;Lämmitetty nettoala;IfcGroup;
88536540-92b3-4cf8-b993-f1005aa89a29;4;GFA 250mm;;;;be768381-8d69-4d59-bdb6-bc2a005db069;Level_04;05587af9-f099-4553-a05b-106372672cd3;;be768381-8d69-4d59-bdb6-bc2a005db069;Level_04;IfcBuildingStorey;Level_04
896fe30b-f906-4f8f-ae4e-8806fd16f4bc;4;GFA;;;;be768381-8d69-4d59-bdb6-bc2a005db069;Level_04;05587af9-f099-4553-a05b-106372672cd3;;be768381-8d69-4d59-bdb6-bc2a005db069;Level_04;IfcBuildingStorey;Level_04
d7b448dd-a18e-4e8c-a527-87ca9022d380;4;Lämmitetty nettoala;;;;be768381-8d69-4d59-bdb6-bc2a005db069;Level_04;05587af9-f099-4553-a05b-106372672cd3;;be768381-8d69-4d59-bdb6-bc2a005db069;Level_04;IfcBuildingStorey;Level_04
b8ecb908-5f21-4971-9efe-e7c6855402c5;AS-1.01;ROOM;Apartment 02.HSTO.AS1;Apartment 02.HSTO.AS1;Private Parts - Apartment;458c0e49-01bb-11d5-9302-0000863f251b;Level_02;05587af9-f099-4553-a05b-106372672cd3;;458c0e49-01bb-11d5-9302-0000863f251b;Level_02;IfcBuildingStorey;Level_02
b8ecb908-5f21-4971-9efe-e7c685540175;AS-1.02;KITCHEN;Apartment 02.HSTO.AS1;Apartment 02.HSTO.AS1;Private Parts - Apartment;458c0e49-01bb-11d5-9302-0000863f251b;Level_02;05587af9-f099-4553-a05b-106372672cd3;;458c0e49-01bb-11d5-9302-0000863f251b;Level_02;IfcBuildingStorey;Level_02
b8ecb908-5f21-4971-9efe-e7c6855402e4;AS-1.03;VESTIBULE;Apartment 02.HSTO.AS1;Apartment 02.HSTO.AS1;Private Parts - Apartment;458c0e49-01bb-11d5-9302-0000863f251b;Level_02;05587af9-f099-4553-a05b-106372672cd3;;458c0e49-01bb-11d5-9302-0000863f251b;Level_02;IfcBuildingStorey;Level_02
b8ecb908-5f21-4971-9efe-e7c6855402c2;AS-1.04;BATHROOM;Apartment 02.HSTO.AS1;Apartment 02.HSTO.AS1;Private Parts - Apartment;458c0e49-01bb-11d5-9302-0000863f251b;Level_02;05587af9-f099-4553-a05b-106372672cd3;;458c0e49-01bb-11d5-9302-0000863f251b;Level_02;IfcBuildingStorey;Level_02
b8ecb908-5f21-4971-9efe-e7c6855402cf;AS-1.05;ROOM;Apartment 02.HSTO.AS1;Apartment 02.HSTO.AS1;Private Parts - Apartment;458c0e49-01bb-11d5-9302-0000863f251b;Level_02;05587af9-f099-4553-a05b-106372672cd3;;458c0e49-01bb-11d5-9302-0000863f251b;Level_02;IfcBuildingStorey;Level_02
b8ecb908-5f21-4971-9efe-e7c6855402cc;AS-1.06;ROOM;Apartment 02.HSTO.AS1;Apartment 02.HSTO.AS1;Private Parts - Apartment;458c0e49-01bb-11d5-9302-0000863f251b;Level_02;05587af9-f099-4553-a05b-106372672cd3;;458c0e49-01bb-11d5-9302-0000863f251b;Level_02;IfcBuildingStorey;Level_02
b8ecb908-5f21-4971-9efe-e7c6855402fd;BATHROOM:1717909;BATHROOM;Apartment 02.HSTO.AS2;Apartment 02.HSTO.AS2;Private Parts - Apartment;458c0e49-01bb-11d5-9302-0000863f251b;Level_02;05587af9-f099-4553-a05b-106372672cd3;;458c0e49-01bb-11d5-9302-0000863f251b;Level_02;IfcBuildingStorey;Level_02
328f0778-34bd-44b8-8007-d579f58d69b0;BATHROOM:1721299;BATHROOM;Apartment 03.HSTO.AS3;Apartment 03.HSTO.AS3;Private Parts - Apartment;fa6d430e-becf-4766-8734-2958fea68219;Level_03;05587af9-f099-4553-a05b-106372672cd3;;fa6d430e-becf-4766-8734-2958fea68219;Level_03;IfcBuildingStorey;Level_03
328f0778-34bd-44b8-8007-d579f58d69b5;BATHROOM:1721302;BATHROOM;Apartment 03.HSTO.AS4;Apartment 03.HSTO.AS4;Private Parts - Apartment;fa6d430e-becf-4766-8734-2958fea68219;Level_03;05587af9-f099-4553-a05b-106372672cd3;;fa6d430e-becf-4766-8734-2958fea68219;Level_03;IfcBuildingStorey;Level_03
65d681d3-06bc-4853-be8c-94f762e8ece8;BATHROOM:1721420;BATHROOM;Apartment 04.HSTO.AS6;Apartment 04.HSTO.AS6;Private Parts - Apartment;be768381-8d69-4d59-bdb6-bc2a005db069;Level_04;05587af9-f099-4553-a05b-106372672cd3;;be768381-8d69-4d59-bdb6-bc2a005db069;Level_04;IfcBuildingStorey;Level_04
65d681d3-06bc-4853-be8c-94f762e8ecff;BATHROOM:1721435;BATHROOM;Apartment 04.HSTO.AS5;Apartment 04.HSTO.AS5;Private Parts - Apartment;be768381-8d69-4d59-bdb6-bc2a005db069;Level_04;05587af9-f099-4553-a05b-106372672cd3;;be768381-8d69-4d59-bdb6-bc2a005db069;Level_04;IfcBuildingStorey;Level_04
81061638-91e9-465c-a3a8-d58402082bf8;BUSINESS SPACE:1403563;BUSINESS SPACE;Business Space 00;Business Space 00;Private Parts - Business;be768381-8d69-4d59-bdb6-bc2a005db3ad;Basement;05587af9-f099-4553-a05b-106372672cd3;;be768381-8d69-4d59-bdb6-bc2a005db3ad;Basement;IfcBuildingStorey;Basement
7bc5c2dc-4e14-4a26-a51e-bf738776bb83;CHASE:1797166;CHASE;Common;Common;Common Parts;e3e052f9-0156-11d5-9301-0000863f269a;Level_01;05587af9-f099-4553-a05b-106372672cd3;;e3e052f9-0156-11d5-9301-0000863f269a;Level_01;IfcBuildingStorey;Level_01
6672f17d-fc44-4f8a-b964-d661c2eb32f9;CHASE:1828882;CHASE;Common;Common;Common Parts;be768381-8d69-4d59-bdb6-bc2a005db3ad;Basement;05587af9-f099-4553-a05b-106372672cd3;;be768381-8d69-4d59-bdb6-bc2a005db3ad;Basement;IfcBuildingStorey;Basement
6672f17d-fc44-4f8a-b964-d661c2eb32cf;CHASE:1828900;CHASE;Common;Common;Common Parts;be768381-8d69-4d59-bdb6-bc2a005db3ad;Basement;05587af9-f099-4553-a05b-106372672cd3;;be768381-8d69-4d59-bdb6-bc2a005db3ad;Basement;IfcBuildingStorey;Basement
6672f17d-fc44-4f8a-b964-d661c2eb32d6;CHASE:1828925;CHASE;Common;Common;Common Parts;e3e052f9-0156-11d5-9301-0000863f269a;Level_01;05587af9-f099-4553-a05b-106372672cd3;;e3e052f9-0156-11d5-9301-0000863f269a;Level_01;IfcBuildingStorey;Level_01
548ae42c-2e97-499d-bbef-0dab844507cc;CHASE:2000698;CHASE;Common;Common;Common Parts;e3e052f9-0156-11d5-9301-0000863f269a;Level_01;05587af9-f099-4553-a05b-106372672cd3;;e3e052f9-0156-11d5-9301-0000863f269a;Level_01;IfcBuildingStorey;Level_01
c62eca08-0b22-4423-885a-82cb1c458ca1;CHASE:2001010;CHASE;Common;Common;Common Parts;458c0e49-01bb-11d5-9302-0000863f251b;Level_02;05587af9-f099-4553-a05b-106372672cd3;;458c0e49-01bb-11d5-9302-0000863f251b;Level_02;IfcBuildingStorey;Level_02
47d08206-8270-4615-8dcd-e85167945da0;CHASE:2001048;CHASE;Common;Common;Common Parts;458c0e49-01bb-11d5-9302-0000863f251b;Level_02;05587af9-f099-4553-a05b-106372672cd3;;458c0e49-01bb-11d5-9302-0000863f251b;Level_02;IfcBuildingStorey;Level_02
30dc55ea-b988-4f9b-95f9-6fcc4a279799;CHASE:2018850;CHASE;Common;Common;Common Parts;e3e052f9-0156-11d5-9301-0000863f269a;Level_01;05587af9-f099-4553-a05b-106372672cd3;;e3e052f9-0156-11d5-9301-0000863f269a;Level_01;IfcBuildingStorey;Level_01
8477b430-2492-4f97-96e9-11353b552ba4;CHASE:2021701;CHASE;Common;Common;Common Parts;458c0e49-01bb-11d5-9302-0000863f251b;Level_02;05587af9-f099-4553-a05b-106372672cd3;;458c0e49-01bb-11d5-9302-0000863f251b;Level_02;IfcBuildingStorey;Level_02
d9c3bdc8-8b33-424a-b7c7-de3a24957d8f;COMMUNAL SPACE:1401781;COMMUNAL SPACE;Communal Space 01;Communal Space 01;Private Parts - Amenities;e3e052f9-0156-11d5-9301-0000863f269a;Level_01;05587af9-f099-4553-a05b-106372672cd3;;e3e052f9-0156-11d5-9301-0000863f269a;Level_01;IfcBuildingStorey;Level_01
cf6c0021-77a5-4b2a-9008-16a3d2cad1d3;GYM:1434404;GYM;Fitness Center 00;Fitness Center 00;Private Parts - Amenities;be768381-8d69-4d59-bdb6-bc2a005db3ad;Basement;05587af9-f099-4553-a05b-106372672cd3;;be768381-8d69-4d59-bdb6-bc2a005db3ad;Basement;IfcBuildingStorey;Basement
4d8f6734-79be-4a6f-95cc-16cb47361200;HEATING:1963182;HEATING;Common;Common;Common Parts;be768381-8d69-4d59-bdb6-bc2a005db3ad;Basement;05587af9-f099-4553-a05b-106372672cd3;;be768381-8d69-4d59-bdb6-bc2a005db3ad;Basement;IfcBuildingStorey;Basement
253094fc-434f-4cef-a9e5-e2927b1f48ee;HSTO.AS1;3H+K+WC+KPH;Apartment 02.HSTO.AS1;Apartment 02.HSTO.AS1;Private Parts - Apartment;458c0e49-01bb-11d5-9302-0000863f251b;Level_02;05587af9-f099-4553-a05b-106372672cd3;;458c0e49-01bb-11d5-9302-0000863f251b;Level_02;IfcBuildingStorey;Level_02
253094fc-434f-4cef-a9e5-e2927b1f48ee;HSTO.AS1;3H+K+WC+KPH;;;;;;;;2d99307a-66cd-4439-b173-5c88d2526478;Rentable;IfcGroup;
2d39cdcf-21f9-44c8-b3e9-78c2dd008966;HSTO.AS2;4H+K+WC+KPH+S;Apartment 02.HSTO.AS2;Apartment 02.HSTO.AS2;Private Parts - Apartment;458c0e49-01bb-11d5-9302-0000863f251b;Level_02;05587af9-f099-4553-a05b-106372672cd3;;458c0e49-01bb-11d5-9302-0000863f251b;Level_02;IfcBuildingStorey;Level_02
2d39cdcf-21f9-44c8-b3e9-78c2dd008966;HSTO.AS2;4H+K+WC+KPH+S;;;;;;;;2d99307a-66cd-4439-b173-5c88d2526478;Rentable;IfcGroup;
7066aef8-6cc6-40b2-93dc-7631dd0c0083;HSTO.AS3;3H+K+WC+KPH;Apartment 03.HSTO.AS3;Apartment 03.HSTO.AS3;Private Parts - Apartment;fa6d430e-becf-4766-8734-2958fea68219;Level_03;05587af9-f099-4553-a05b-106372672cd3;;fa6d430e-becf-4766-8734-2958fea68219;Level_03;IfcBuildingStorey;Level_03
7066aef8-6cc6-40b2-93dc-7631dd0c0083;HSTO.AS3;3H+K+WC+KPH;;;;;;;;2d99307a-66cd-4439-b173-5c88d2526478;Rentable;IfcGroup;
7066aef8-6cc6-40b2-93dc-7631dd0c008f;HSTO.AS4;4H+K+WC+KPH+S;Apartment 03.HSTO.AS4;Apartment 03.HSTO.AS3;Private Parts - Apartment;fa6d430e-becf-4766-8734-2958fea68219;Level_03;05587af9-f099-4553-a05b-106372672cd3;;fa6d430e-becf-4766-8734-2958fea68219;Level_03;IfcBuildingStorey;Level_03
7066aef8-6cc6-40b2-93dc-7631dd0c008f;HSTO.AS4;4H+K+WC+KPH+S;;;;;;;;2d99307a-66cd-4439-b173-5c88d2526478;Rentable;IfcGroup;
7066aef8-6cc6-40b2-93dc-7631dd0c03f1;HSTO.AS5;3H+K+WC+KPH;Apartment 04.HSTO.AS5;Apartment 04.HSTO.AS5;Private Parts - Apartment;be768381-8d69-4d59-bdb6-bc2a005db069;Level_04;05587af9-f099-4553-a05b-106372672cd3;;be768381-8d69-4d59-bdb6-bc2a005db069;Level_04;IfcBuildingStorey;Level_04
7066aef8-6cc6-40b2-93dc-7631dd0c03f1;HSTO.AS5;3H+K+WC+KPH;;;;;;;;2d99307a-66cd-4439-b173-5c88d2526478;Rentable;IfcGroup;
7066aef8-6cc6-40b2-93dc-7631dd0c03fd;HSTO.AS6;4H+K+WC+KPH+S;Apartment 04.HSTO.AS6;Apartment 04.HSTO.AS6;Private Parts - Apartment;be768381-8d69-4d59-bdb6-bc2a005db069;Level_04;05587af9-f099-4553-a05b-106372672cd3;;be768381-8d69-4d59-bdb6-bc2a005db069;Level_04;IfcBuildingStorey;Level_04
7066aef8-6cc6-40b2-93dc-7631dd0c03fd;HSTO.AS6;4H+K+WC+KPH+S;;;;;;;;2d99307a-66cd-4439-b173-5c88d2526478;Rentable;IfcGroup;
320797ea-50ce-4b66-9c22-6e014de1472b;K;GFA;;;;be768381-8d69-4d59-bdb6-bc2a005db3ad;Basement;05587af9-f099-4553-a05b-106372672cd3;;be768381-8d69-4d59-bdb6-bc2a005db3ad;Basement;IfcBuildingStorey;Basement
91b4cedc-2da1-4880-a019-98ad19f16fd9;K;HEATED NETAREA;;;;be768381-8d69-4d59-bdb6-bc2a005db3ad;Basement;05587af9-f099-4553-a05b-106372672cd3;;be768381-8d69-4d59-bdb6-bc2a005db3ad;Basement;IfcBuildingStorey;Basement
320797ea-50ce-4b66-9c22-6e014de1472b;K;GFA;;;;;;;;2d99307a-66cd-4439-b173-5c88d252647c;Gross Building;IfcGroup;
91b4cedc-2da1-4880-a019-98ad19f16fd9;K;HEATED NETAREA;;;;;;;;a72e48c5-05d6-4017-83b3-c7fee6b88e05;Lämmitetty nettoala;IfcGroup;
fb913978-b782-4d75-8662-3ba8b91393c0;KITCHEN:1713710;KITCHEN;Communal Space 01;Communal Space 01;Private Parts - Amenities;e3e052f9-0156-11d5-9301-0000863f269a;Level_01;05587af9-f099-4553-a05b-106372672cd3;;e3e052f9-0156-11d5-9301-0000863f269a;Level_01;IfcBuildingStorey;Level_01
b8ecb908-5f21-4971-9efe-e7c6855402f3;KITCHEN:1717915;KITCHEN;Apartment 02.HSTO.AS2;Apartment 02.HSTO.AS2;Private Parts - Apartment;458c0e49-01bb-11d5-9302-0000863f251b;Level_02;05587af9-f099-4553-a05b-106372672cd3;;458c0e49-01bb-11d5-9302-0000863f251b;Level_02;IfcBuildingStorey;Level_02
328f0778-34bd-44b8-8007-d579f58d69a7;KITCHEN:1721284;KITCHEN;Apartment 03.HSTO.AS3;Apartment 03.HSTO.AS3;Private Parts - Apartment;fa6d430e-becf-4766-8734-2958fea68219;Level_03;05587af9-f099-4553-a05b-106372672cd3;;fa6d430e-becf-4766-8734-2958fea68219;Level_03;IfcBuildingStorey;Level_03
328f0778-34bd-44b8-8007-d579f58d69a4;KITCHEN:1721287;KITCHEN;Apartment 03.HSTO.AS4;Apartment 03.HSTO.AS4;Private Parts - Apartment;fa6d430e-becf-4766-8734-2958fea68219;Level_03;05587af9-f099-4553-a05b-106372672cd3;;fa6d430e-becf-4766-8734-2958fea68219;Level_03;IfcBuildingStorey;Level_03
65d681d3-06bc-4853-be8c-94f762e8ece7;KITCHEN:1721411;KITCHEN;Apartment 04.HSTO.AS5;Apartment 04.HSTO.AS5;Private Parts - Apartment;be768381-8d69-4d59-bdb6-bc2a005db069;Level_04;05587af9-f099-4553-a05b-106372672cd3;;be768381-8d69-4d59-bdb6-bc2a005db069;Level_04;IfcBuildingStorey;Level_04
65d681d3-06bc-4853-be8c-94f762e8ece2;KITCHEN:1721414;KITCHEN;Apartment 04.HSTO.AS6;Apartment 04.HSTO.AS6;Private Parts - Apartment;be768381-8d69-4d59-bdb6-bc2a005db069;Level_04;05587af9-f099-4553-a05b-106372672cd3;;be768381-8d69-4d59-bdb6-bc2a005db069;Level_04;IfcBuildingStorey;Level_04
e6d91338-448c-4dbc-a702-10a95c33f1c9;KITCHEN:1880390;KITCHEN;Business Space 00;Business Space 00;Private Parts - Business;be768381-8d69-4d59-bdb6-bc2a005db3ad;Basement;05587af9-f099-4553-a05b-106372672cd3;;be768381-8d69-4d59-bdb6-bc2a005db3ad;Basement;IfcBuildingStorey;Basement
5ca07fc8-306e-458d-9c07-aaee5e911588;LIFT:1702440;LIFT;Common;Common;Common Parts;be768381-8d69-4d59-bdb6-bc2a005db3ad;Basement;05587af9-f099-4553-a05b-106372672cd3;;be768381-8d69-4d59-bdb6-bc2a005db3ad;Basement;IfcBuildingStorey;Basement
81061638-91e9-465c-a3a8-d58402082ecb;LOCKER ROOM:1404824;LOCKER ROOM;Fitness Center 00;Fitness Center 00;Private Parts - Amenities;be768381-8d69-4d59-bdb6-bc2a005db3ad;Basement;05587af9-f099-4553-a05b-106372672cd3;;be768381-8d69-4d59-bdb6-bc2a005db3ad;Basement;IfcBuildingStorey;Basement
